query,BM25-llava_documents_ndcg@1,BM25_documents_ndcg@1,Clip_documents_ndcg@1,Mistral-llava_documents_ndcg@1,Mistral_documents_ndcg@1,Qwen2_documents_ndcg@1,BM25-llava_documents_ndcg@2,BM25_documents_ndcg@2,Clip_documents_ndcg@2,Mistral-llava_documents_ndcg@2,Mistral_documents_ndcg@2,Qwen2_documents_ndcg@2,BM25-llava_documents_ndcg@3,BM25_documents_ndcg@3,Clip_documents_ndcg@3,Mistral-llava_documents_ndcg@3,Mistral_documents_ndcg@3,Qwen2_documents_ndcg@3,source_file
Should online piracy of TV shows be punishable by law?,0.0,0.5,0.75,0.75,0.5,0.75,0.0,0.6606021509485402,0.5090967735771897,0.7232329748419101,0.6606021509485402,0.9373691761066303,0.0,0.5265657011759873,0.40580082756343944,0.7117556475070489,0.7294661149577071,0.8824435249295117,random
Is society more accepting of transgender people?,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.8218468239548651,0.959684936496485,0.9310809437291901,1.0,0.959684936496485,1.0,0.7742591985416688,0.9254314511111328,0.8171605343055544,0.9570986642361144,0.9254314511111328,1.0,random
Can online banking replace traditional banking?,1.0,1.0,0.6,0.4,1.0,1.0,0.8322824782867448,1.0,0.3987389739440937,0.6012610260559063,0.8322824782867448,0.9161412391433723,0.8150029936309461,0.894999002123018,0.42000399150792816,0.6324965074305627,0.7625024946924551,0.8287507484077364,manual
Do people prefer online shopping over in-store shopping?,1.0,1.0,0.4,0.4,1.0,1.0,0.6131471927654585,0.9226294385530918,0.4773705614469083,0.4773705614469083,1.0,0.8452588771061834,0.5908623860031398,0.9378678900673995,0.43258899063244377,0.629543119300157,0.9507614678330717,0.924974312301727,manual
What is the government expenditure in US?,0.0,0.6,0.0,0.0,0.8,0.8,0.0,0.3987389739440937,0.08385876085662762,0.0,0.7832282478286744,0.7832282478286744,0.0,0.33245716042915047,0.06991903810087681,0.11081905347638349,0.9300809618991231,0.6530333282081644,manual
Should government spending be reduced?,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6131471927654584,0.0,0.0,0.8065735963827293,0.8065735963827293,0.0,0.5316519652587917,0.0,0.26582598262939583,0.8322824782867448,0.8322824782867448,Touche
Should the US reform its gun laws?,0.0,0.0,0.5,0.16666666666666666,0.5,1.0,0.0,0.22206143322439892,0.5,0.19134015924715542,0.5740204777414663,0.9259795222585335,0.0,0.18883103746391575,0.5748225283381445,0.3123521069484538,0.5878845219340201,0.9869380064041244,manual
Can alternative energy effectively replace fossil fuels?,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.7420981285103057,0.33333333333333337,0.0,0.5912352048230277,1.0,0.23463936301137825,0.5679726963447116,0.2551202123295406,0.07821312100379275,0.687147515984829,0.8435737579924145,Touche
Are social media platforms doing enough to prevent cyberbullying?,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.42827240252944054,0.42827240252944054,0.27676702515809004,0.27676702515809004,0.42827240252944054,0.0,0.36613900684151635,0.511218155815289,0.309153475171038,0.4542326241448105,0.5837577303021751,Touche
Should we imprison fewer people?,0.0,0.0,0.25,0.0,0.75,0.5,0.0,0.0,0.3838351257904502,0.3212043018970804,0.7232329748419101,0.7676702515809004,0.0,0.0,0.5457673758551895,0.34714382961802354,0.6908465248289621,0.8739160282497203,Touche
Should health and fitness apps be free to download?,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5377157309218196,0.7956176024115139,0.46228426907818054,0.5912352048230277,0.6666666666666667,0.7956176024115139,0.531315411946685,0.7454516132114052,0.46868458805331514,0.5757526886856752,0.638383512579045,0.9151505377371351,random
Should holders of public offices resign on bad approval ratings?,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.1289509357448472,0.8710490642551529,0.0,0.1289509357448472,0.7420981285103057,0.46228426907818054,0.33333333333333337,0.7448797876704595,0.0,0.0986939703219551,0.6461858173485043,0.5884535456628739,Touche
Should education be free?,0.0,0.0,0.25,0.5,0.5,0.5,0.0,0.0,0.1696989245257299,0.5535340503161801,0.6606021509485402,0.6606021509485402,0.0,0.2901582979475451,0.14507914897377255,0.618306950342076,0.7098417020524549,0.7098417020524549,Touche
Does tourism significantly impact Europe's GDP?,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.1532867981913646,0.0,1.0,1.0,0.0,0.0,0.24926097193073435,0.0,1.0,0.9376847570173164,manual
Does reducing police funding increase crime?,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3445952813540498,0.35630635209027,0.35630635209027,0.35630635209027,0.6319825771735098,0.0,0.4621076714410481,0.29242153428820966,0.29242153428820966,0.29242153428820966,0.6083184385851529,random
Is nuclear energy safer than coal energy?,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.7601875334318685,0.0,0.9200625111439562,0.9200625111439562,1.0,0.15969697161989949,0.6920202103528978,0.0,0.9328282860331658,0.7731313144132663,0.9467676761267002,random
Should social networks be banned?,0.0,0.0,0.25,0.5,0.25,1.0,0.09671320180863541,0.0,0.1532867981913646,0.40328679819136465,0.3467132018086354,0.8065735963827293,0.15031525651397656,0.0,0.26582598262939583,0.6155107261154192,0.43354350434265104,0.8322824782867448,Touche
Should gay marriage be legal?,0.75,0.75,0.25,0.75,0.75,0.75,0.7232329748419101,0.8303010754742701,0.1696989245257299,0.9373691761066303,0.6161648742095499,0.8303010754742701,0.6441221762464757,0.7970995862182803,0.1352669425211465,0.8148100536689385,0.6940451800563907,0.7294661149577071,Touche
Do international conflicts impact fuel prices?,0.0,0.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.0,0.0,0.6554047186459502,0.6722976406770249,0.959684936496485,0.959684936496485,0.0,0.0,0.514816029166626,0.5280853065972594,0.7538261080555907,0.9683327868750183,manual
Should abortion be legal?,0.4,0.8,0.8,0.8,0.8,1.0,0.43354350434265104,0.6993694869720469,0.5316519652587917,0.5316519652587917,0.9509457695419297,1.0,0.36147618315452057,0.8601619237982463,0.6095047941201092,0.6095047941201092,0.9036904578863014,1.0,Touche
Should Turkey join the EU?,0.5,0.5,0.5,0.5,0.5,0.5,0.3065735963827292,0.3065735963827292,0.3065735963827292,0.3065735963827292,0.3065735963827292,0.3065735963827292,0.26582598262939583,0.5316519652587917,0.26582598262939583,0.26582598262939583,0.5316519652587917,0.26582598262939583,Touche
Is globalization beneficial for economic growth?,0.6,0.6,0.0,1.0,0.6,0.6,0.43523744692131766,0.7098417020524549,0.4576737585518954,0.7253957448688627,0.892911205473213,0.7098417020524549,0.3574496995942261,0.7021252503381448,0.37587608479862766,0.5957494993237102,0.9120506341899668,0.7617002002705158,manual
Should immigrants who commit crimes be deported?,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.908465248289621,1.0,0.908465248289621,0.908465248289621,0.908465248289621,0.12669792223864476,0.9200625111439562,1.0,0.9200625111439562,0.9200625111439562,0.9200625111439562,random
Are gas prices too high?,0.0,0.3333333333333333,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.21846823954865008,0.6554047186459502,0.6840087114132452,0.7529277676840551,0.8218468239548651,0.0,0.17929744285298396,0.537892328558952,0.5613676985676856,0.8868759085647745,0.8537892328558954,Touche
Should the government allow illegal immigrants to become citizens?,0.0,0.0,1.0,1.0,0.8,0.8,0.07737056144690833,0.38685280723454163,0.9226294385530918,1.0,0.8773705614469083,0.8773705614469083,0.10614425479544871,0.34300978356814094,0.9407836178068271,0.9530721273977244,0.9061442547954487,0.9061442547954487,Touche
