SL,query,ndcg_metric,top_model,highest_ndcg_score,second_top_model,second_highest_ndcg_score,third_top_model,third_highest_ndcg_score,relevance_gpt,faithfulness_gpt,relevance_lama,faithfulness_lama,annotator_name,scores_equal,Unique_document,source_file
1,Are gas prices too high?,_ndcg@1,Clip,1.0,Mistral-llava,0.8333333333333334,Mistral,0.8333333333333334,3,3,3,3,Pranay Karani,,14,Touche
2,Are gas prices too high?,_ndcg@2,Qwen2,0.8218468239548651,Mistral,0.7529277676840551,Mistral-llava,0.6840087114132452,3,3,3,3,Pranay Karani,,14,Touche
3,Are gas prices too high?,_ndcg@3,Mistral,0.8868759085647745,Qwen2,0.8537892328558954,Mistral-llava,0.5613676985676856,3,3,3,3,Pranay Karani,,14,Touche
4,Should the government allow illegal immigrants to become citizens?,_ndcg@1,Clip,1.0,Mistral-llava,1.0,Mistral,0.8,3,3,3,3,Pranay Karani,1&2,7,Touche
5,Should the government allow illegal immigrants to become citizens?,_ndcg@2,Mistral-llava,1.0,Clip,0.9226294385530918,Mistral,0.8773705614469083,3,3,3,3,Pranay Karani,,7,Touche
6,Should the government allow illegal immigrants to become citizens?,_ndcg@3,Mistral-llava,0.9530721273977244,Clip,0.9407836178068272,Mistral,0.9061442547954488,3,3,3,3,Pranay Karani,,7,Touche
7,Are social media platforms doing enough to prevent cyberbullying?,_ndcg@1,Mistral-llava,0.25,Mistral,0.25,BM25-llava,0.0,3,3,3,3,Pranay Karani,1&2,10,Touche
8,Are social media platforms doing enough to prevent cyberbullying?,_ndcg@2,BM25,0.4282724025294405,Clip,0.4282724025294405,Qwen2,0.4282724025294405,3,3,3,3,Pranay Karani,1&2&3,10,Touche
9,Are social media platforms doing enough to prevent cyberbullying?,_ndcg@3,Qwen2,0.5837577303021751,Clip,0.511218155815289,Mistral,0.4542326241448105,3,3,3,3,Pranay Karani,,10,Touche
10,Is a college education worth it?,_ndcg@1,Qwen2,0.6666666666666666,Mistral-llava,0.3333333333333333,BM25-llava,0.3333333333333333,3,3,3,2,Pranay Karani,,13,Touche
11,Is a college education worth it?,_ndcg@2,Qwen2,0.7956176024115139,BM25-llava,0.4622842690781805,Clip,0.3333333333333333,3,3,3,3,Pranay Karani,,13,Touche
12,Is a college education worth it?,_ndcg@3,Qwen2,0.8435737579924145,Clip,0.4897595753409188,BM25-llava,0.4320273036552884,3,3,3,3,Pranay Karani,,13,Touche
13,Should abortion be legal?,_ndcg@1,Qwen2,1.0,BM25,0.8,Mistral-llava,0.8,3,3,3,2,Pranay Karani,,11,Touche
14,Should abortion be legal?,_ndcg@2,Qwen2,1.0,Mistral,0.9509457695419296,BM25,0.6993694869720469,3,3,3,3,Pranay Karani,,11,Touche
15,Should abortion be legal?,_ndcg@3,Qwen2,1.0,Mistral,0.9036904578863014,BM25,0.8601619237982463,3,3,3,3,Pranay Karani,,11,Touche
16,Are social networking sites good for our society?,_ndcg@1,Mistral-llava,0.75,Clip,0.75,Qwen2,0.75,3,3,3,2,Sagarika,1&2&3,9,Touche
17,Are social networking sites good for our society?,_ndcg@2,Qwen2,0.8303010754742701,Mistral,0.8303010754742701,Mistral-llava,0.8303010754742701,3,3,3,2,Sagarika,1&2&3,9,Touche
18,Are social networking sites good for our society?,_ndcg@3,Qwen2,0.9323665287394268,Clip,0.7970995862182803,Mistral-llava,0.7294661149577071,3,3,3,2,Sagarika,,9,Touche
19,Should recreational marijuana be legal?,_ndcg@1,Mistral,1.0,BM25-llava,1.0,Qwen2,1.0,3,3,3,3,Sagarika,1&2&3,9,Touche
20,Should recreational marijuana be legal?,_ndcg@2,Qwen2,0.93108094372919,BM25-llava,0.93108094372919,Mistral,0.8621618874583801,3,3,3,2,Sagarika,1&2,9,Touche
21,Should recreational marijuana be legal?,_ndcg@3,Qwen2,0.9458645415972108,Mistral,0.8059264116666506,Mistral-llava,0.7967274438194762,3,3,3,2,Sagarika,,9,Touche
22,Does poverty cause crime?,_ndcg@1,BM25,1.0,Qwen2,1.0,Clip,0.6666666666666666,3,1,3,1,Johannes Kiesel,1&2,16,Touche
23,Does poverty cause crime?,_ndcg@2,BM25,0.8710490642551529,Qwen2,0.6131471927654584,Clip,0.4087647951769723,3,2,2,1,Johannes Kiesel,,16,Touche
24,Does poverty cause crime?,_ndcg@3,Qwen2,0.7636451603657846,BM25,0.7232329748419101,Clip,0.3393978490514598,2,3,2,3,Johannes Kiesel,,16,Touche
25,Should gay marriage be legal?,_ndcg@1,Qwen2,0.75,Mistral,0.75,BM25-llava,0.75,3,3,3,1,Simon,1&2&3,9,Touche
26,Should gay marriage be legal?,_ndcg@2,Mistral-llava,0.9373691761066304,BM25,0.8303010754742701,Qwen2,0.8303010754742701,3,2,3,2,Simon,,9,Touche
27,Should gay marriage be legal?,_ndcg@3,Mistral-llava,0.8148100536689385,BM25,0.7970995862182803,Qwen2,0.7294661149577071,3,2,2,3,Simon,,9,Touche
28,Should government spending be reduced?,_ndcg@1,BM25,1.0,Qwen2,1.0,Mistral,1.0,2,3,2,2,Simon,1&2&3,14,Touche
29,Should government spending be reduced?,_ndcg@2,Qwen2,0.8065735963827293,Mistral,0.8065735963827293,BM25,0.6131471927654584,2,1,3,2,Simon,1&2,14,Touche
30,Should government spending be reduced?,_ndcg@3,Qwen2,0.8322824782867448,Mistral,0.8322824782867448,BM25,0.5316519652587917,3,3,2,3,Simon,1&2,14,Touche
31,Should social networks be banned?,_ndcg@1,Qwen2,1.0,Mistral-llava,0.5,Clip,0.25,3,3,3,2,Simon,,15,Touche
32,Should social networks be banned?,_ndcg@2,Qwen2,0.8065735963827293,Mistral-llava,0.4032867981913646,Mistral,0.3467132018086354,3,3,2,3,Simon,,15,Touche
33,Should social networks be banned?,_ndcg@3,Qwen2,0.8322824782867448,Mistral-llava,0.6155107261154192,Mistral,0.433543504342651,3,2,3,3,Simon,,15,Touche
34,Should education be free?,_ndcg@1,Mistral,0.5,Qwen2,0.5,Mistral-llava,0.5,2,3,2,3,Simon,1&2&3,14,Touche
35,Should education be free?,_ndcg@2,Mistral,0.6606021509485402,Qwen2,0.6606021509485402,Mistral-llava,0.5535340503161801,3,2,3,2,Simon,1&2,14,Touche
36,Should education be free?,_ndcg@3,Qwen2,0.7098417020524549,Mistral,0.7098417020524549,Mistral-llava,0.618306950342076,3,3,3,2,Simon,1&2,14,Touche
37,Should holders of public offices resign on bad approval ratings?,_ndcg@1,Mistral,1.0,BM25,1.0,Qwen2,0.3333333333333333,3,3,3,2,Simon,1&2,14,Touche
38,Should holders of public offices resign on bad approval ratings?,_ndcg@2,BM25,0.8710490642551529,Mistral,0.7420981285103057,Qwen2,0.4622842690781805,3,1,2,1,Simon,,14,Touche
39,Should holders of public offices resign on bad approval ratings?,_ndcg@3,BM25,0.7448797876704595,Mistral,0.6461858173485043,Qwen2,0.5884535456628739,3,3,3,2,Simon,,14,Touche
40,Should the federal minimum wage be increased?,_ndcg@1,Mistral,1.0,Mistral-llava,1.0,Qwen2,0.75,3,3,3,3,Sagarika,1&2,9,Touche
41,Should the federal minimum wage be increased?,_ndcg@2,Qwen2,0.8467132018086354,Mistral-llava,0.7098603945740938,Mistral,0.7098603945740938,3,3,3,3,Sagarika,,9,Touche
42,Should the federal minimum wage be increased?,_ndcg@3,Qwen2,0.9376847570173164,Mistral,0.7641007546071396,Mistral-llava,0.6394702686417724,3,3,3,2,Sagarika,,9,Touche
43,Should Turkey join the EU?,_ndcg@1,Mistral-llava,0.5,Qwen2,0.5,BM25,0.5,2,3,2,2,Sagarika,1&2&3,11,Touche
44,Should Turkey join the EU?,_ndcg@2,Clip,0.3065735963827292,BM25,0.3065735963827292,BM25-llava,0.3065735963827292,2,1,2,1,Sagarika,1&2&3,11,Touche
45,Should Turkey join the EU?,_ndcg@3,Mistral,0.5316519652587917,BM25,0.5316519652587917,BM25-llava,0.2658259826293958,2,2,2,3,Sagarika,1&2,11,Touche
46,Should any vaccines be required for children?,_ndcg@1,Qwen2,1.0,BM25,0.5,Mistral-llava,0.5,3,3,3,3,Sagarika,,10,Touche
47,Should any vaccines be required for children?,_ndcg@2,Qwen2,0.8800937667159342,Mistral-llava,0.5,Mistral,0.5,2,3,3,3,Sagarika,,10,Touche
48,Should any vaccines be required for children?,_ndcg@3,Qwen2,0.8992424290497487,Mistral,0.5798484858099497,BM25,0.4790909148596984,3,2,3,2,Sagarika,,10,Touche
49,Can alternative energy effectively replace fossil fuels?,_ndcg@1,Qwen2,1.0,BM25,1.0,Mistral,0.3333333333333333,3,3,2,3,Sagarika,1&2,13,Touche
50,Can alternative energy effectively replace fossil fuels?,_ndcg@2,Qwen2,1.0,BM25,0.7420981285103057,Mistral,0.5912352048230277,3,3,3,3,Sagarika,,13,Touche
51,Can alternative energy effectively replace fossil fuels?,_ndcg@3,Qwen2,0.8435737579924145,Mistral,0.687147515984829,BM25,0.5679726963447116,3,3,3,3,Sagarika,,13,Touche
52,Do we need sex education in schools?,_ndcg@1,Mistral-llava,1.0,Mistral,1.0,Qwen2,1.0,2,2,2,3,Sagarika,1&2&3,14,Touche
53,Do we need sex education in schools?,_ndcg@2,Qwen2,1.0,Mistral,0.6787956981029196,Mistral-llava,0.6787956981029196,3,3,2,2,Sagarika,,14,Touche
54,Do we need sex education in schools?,_ndcg@3,Qwen2,1.0,Mistral,0.7039180890341348,Mistral-llava,0.7039180890341348,3,2,3,2,Sagarika,,14,Touche
55,Should we imprison fewer people?,_ndcg@1,Mistral,0.75,Qwen2,0.5,Clip,0.25,2,2,2,2,Sagarika,,12,Touche
56,Should we imprison fewer people?,_ndcg@2,Qwen2,0.7676702515809004,Mistral,0.7232329748419101,Clip,0.3838351257904502,2,3,2,3,Sagarika,,12,Touche
57,Should we imprison fewer people?,_ndcg@3,Qwen2,0.8739160282497203,Mistral,0.6908465248289621,Clip,0.5457673758551895,2,3,2,3,Sagarika,,12,Touche
58,Is feminism still needed?,_ndcg@1,Mistral,1.0,Qwen2,1.0,BM25,1.0,3,2,3,3,Bipin,1&2&3,14,Touche
59,Is feminism still needed?,_ndcg@2,BM25,0.9259795222585336,Mistral,0.9259795222585336,Qwen2,0.8519590445170673,3,3,3,2,Bipin,1&2,14,Touche
60,Is feminism still needed?,_ndcg@3,Mistral,0.9400468833579672,Qwen2,0.8325820458764425,BM25,0.7499999999999999,3,2,3,2,Bipin,,14,Touche
61,Did COVID-19 affect global gasoline prices?,_ndcg@1,BM25,0.6,Qwen2,0.6,Mistral-llava,0.4,3,3,3,2,Bipin,1&2,12,manual
62,Did COVID-19 affect global gasoline prices?,_ndcg@2,Mistral-llava,0.7478320564994405,Mistral,0.7478320564994405,Qwen2,0.618306950342076,3,3,3,3,Bipin,1&2,12,manual
63,Did COVID-19 affect global gasoline prices?,_ndcg@3,Qwen2,0.8567135500246339,Mistral-llava,0.7797812109961533,Mistral,0.7797812109961533,3,3,3,3,Bipin,,12,manual
64,Do international conflicts impact fuel prices?,_ndcg@1,Clip,1.0,Mistral,0.8333333333333334,Qwen2,0.8333333333333334,3,1,3,3,Bipin,,12,manual
65,Do international conflicts impact fuel prices?,_ndcg@2,Qwen2,0.959684936496485,Mistral,0.959684936496485,Mistral-llava,0.6722976406770249,3,3,3,3,Bipin,1&2,12,manual
66,Do international conflicts impact fuel prices?,_ndcg@3,Qwen2,0.9683327868750184,Mistral,0.7538261080555907,Mistral-llava,0.5280853065972594,3,3,3,2,Bipin,,12,manual
67,Do Americans support spending on policing?,_ndcg@1,BM25-llava,1.0,Clip,1.0,Mistral-llava,1.0,3,3,3,3,Bipin,1&2&3,7,manual
68,Do Americans support spending on policing?,_ndcg@2,Clip,1.0,Mistral-llava,1.0,BM25-llava,1.0,3,2,3,3,Bipin,1&2&3,7,manual
69,Do Americans support spending on policing?,_ndcg@3,Qwen2,0.906479133234798,Mistral,0.906479133234798,Clip,0.8733020777613553,3,3,3,1,Bipin,1&2,7,manual
70,What is the government expenditure in US?,_ndcg@1,Qwen2,0.8,Mistral,0.8,BM25,0.6,3,3,3,1,Bipin,1&2,14,manual
71,What is the government expenditure in US?,_ndcg@2,Qwen2,0.7832282478286744,Mistral,0.7832282478286744,BM25,0.3987389739440937,3,3,3,1,Bipin,1&2,14,manual
72,What is the government expenditure in US?,_ndcg@3,Mistral,0.9300809618991231,Qwen2,0.6530333282081644,BM25,0.3324571604291504,3,3,3,1,Bipin,,14,manual
73,Is globalization beneficial for economic growth?,_ndcg@1,Mistral-llava,1.0,BM25,0.6,BM25-llava,0.6,2,3,2,3,Bipin,,11,manual
74,Is globalization beneficial for economic growth?,_ndcg@2,Mistral,0.892911205473213,Mistral-llava,0.7253957448688627,Qwen2,0.7098417020524549,3,3,3,3,Bipin,,11,manual
75,Is globalization beneficial for economic growth?,_ndcg@3,Mistral,0.9120506341899668,Qwen2,0.7617002002705158,BM25,0.7021252503381448,3,3,3,3,Bipin,,11,manual
76,Should the US reform its gun laws?,_ndcg@1,Qwen2,1.0,Mistral,0.5,Clip,0.5,3,3,3,3,Bikram,,14,manual
77,Should the US reform its gun laws?,_ndcg@2,Qwen2,0.9259795222585336,Mistral,0.5740204777414663,Clip,0.5,3,3,3,3,Bikram,,14,manual
78,Should the US reform its gun laws?,_ndcg@3,Qwen2,0.9869380064041244,Mistral,0.5878845219340201,Clip,0.5748225283381445,3,3,3,2,Bikram,,14,manual
79,Has the internet influenced US election campaigns?,_ndcg@1,Qwen2,1.0,BM25,1.0,Mistral-llava,1.0,3,3,3,3,Bikram,1&2&3,9,manual
80,Has the internet influenced US election campaigns?,_ndcg@2,Qwen2,1.0,BM25,1.0,Mistral-llava,1.0,3,3,3,3,Bikram,1&2&3,9,manual
81,Has the internet influenced US election campaigns?,_ndcg@3,Mistral,0.9376847570173164,Qwen2,0.9376847570173164,Mistral-llava,0.8753695140346327,3,3,3,3,Bikram,1&2,9,manual
82,Are household electricity prices in Europe too high?,_ndcg@1,BM25,0.5,Qwen2,0.5,Mistral,0.5,2,2,2,3,Bikram,1&2&3,13,manual
83,Are household electricity prices in Europe too high?,_ndcg@2,BM25,0.7960819109658651,Mistral,0.6480409554829326,Qwen2,0.5740204777414663,2,3,2,3,Bikram,,13,manual
84,Are household electricity prices in Europe too high?,_ndcg@3,BM25,0.834835908247115,Mistral,0.8099531166420328,Qwen2,0.7499999999999999,3,3,2,2,Bikram,,13,manual
85,Is Twitter usage growing globally?,_ndcg@1,Qwen2,0.75,Mistral,0.5,BM25-llava,0.25,3,2,3,2,Bikram,,10,manual
86,Is Twitter usage growing globally?,_ndcg@2,Qwen2,0.9373691761066304,Mistral-llava,0.5979713270551704,Mistral,0.44646594968382,3,2,3,2,Bikram,,10,manual
87,Is Twitter usage growing globally?,_ndcg@3,Qwen2,0.8739160282497203,Mistral,0.6718513476054694,Mistral-llava,0.6562973047890615,3,2,3,2,Bikram,,10,manual
88,Is climate change a major global threat?,_ndcg@1,Mistral-llava,1.0,BM25,0.8333333333333334,Qwen2,0.5,3,2,3,3,Mazz Hussian,,7,manual
89,Is climate change a major global threat?,_ndcg@2,BM25,0.959684936496485,BM25-llava,0.7412166969478349,Mistral,0.7412166969478349,3,3,3,3,Mazz Hussian,,7,manual
90,Is climate change a major global threat?,_ndcg@3,BM25,0.9653606369886216,BM25-llava,0.8715048917840704,Mistral,0.8715048917840704,3,3,3,3,Mazz Hussian,,7,manual
91,Is China the world's leading economic power?,_ndcg@1,Mistral-llava,1.0,BM25,1.0,Mistral,1.0,3,3,2,3,Mazz Hussian,1&2&3,7,manual
92,Is China the world's leading economic power?,_ndcg@2,BM25,1.0,Mistral-llava,1.0,Qwen2,1.0,3,3,3,3,Mazz Hussian,1&2&3,7,manual
93,Is China the world's leading economic power?,_ndcg@3,Mistral,1.0,BM25,1.0,Qwen2,1.0,3,3,3,3,Mazz Hussian,1&2&3,7,manual
94,Does tourism significantly impact Europe's GDP?,_ndcg@1,Mistral,1.0,Qwen2,1.0,Clip,0.25,2,3,2,1,Manish,1&2,14,manual
95,Does tourism significantly impact Europe's GDP?,_ndcg@2,Qwen2,1.0,Mistral,1.0,Clip,0.1532867981913646,2,3,2,2,Manish,1&2,14,manual
96,Does tourism significantly impact Europe's GDP?,_ndcg@3,Mistral,1.0,Qwen2,0.9376847570173164,Clip,0.2492609719307343,3,3,3,1,Manish,,14,manual
97,Do Hispanics face discrimination in the US?,_ndcg@1,Mistral-llava,1.0,Qwen2,1.0,Clip,1.0,3,3,3,3,Devang,1&2&3,9,manual
98,Do Hispanics face discrimination in the US?,_ndcg@2,Mistral-llava,1.0,Clip,1.0,Qwen2,1.0,3,3,3,3,Devang,1&2&3,9,manual
99,Do Hispanics face discrimination in the US?,_ndcg@3,Qwen2,1.0,Mistral,0.9570986642361144,Mistral-llava,0.8712959927083435,3,3,3,3,Devang,,9,manual
100,Can online banking replace traditional banking?,_ndcg@1,Qwen2,1.0,BM25,1.0,BM25-llava,1.0,3,3,3,2,Devang,1&2&3,11,manual
101,Can online banking replace traditional banking?,_ndcg@2,BM25,1.0,Qwen2,0.9161412391433724,Mistral,0.8322824782867448,3,3,3,3,Devang,,11,manual
102,Can online banking replace traditional banking?,_ndcg@3,BM25,0.894999002123018,Qwen2,0.8287507484077364,BM25-llava,0.8150029936309461,3,3,3,3,Devang,,11,manual
103,Should immigrants who commit crimes be deported?,_ndcg@1,Qwen2,1.0,BM25,1.0,Mistral-llava,1.0,3,3,3,2,Harshil,1&2&3,9,random
104,Should immigrants who commit crimes be deported?,_ndcg@2,Clip,1.0,BM25,0.908465248289621,Mistral,0.908465248289621,3,3,3,3,Harshil,,9,random
105,Should immigrants who commit crimes be deported?,_ndcg@3,Clip,1.0,Mistral,0.9200625111439562,Qwen2,0.9200625111439562,3,2,3,2,Harshil,,9,random
106,Should online piracy of TV shows be punishable by law?,_ndcg@1,Qwen2,0.75,Mistral-llava,0.75,Clip,0.75,3,2,3,1,Harshil,1&2&3,13,random
107,Should online piracy of TV shows be punishable by law?,_ndcg@2,Qwen2,0.9373691761066304,Mistral-llava,0.7232329748419101,Mistral,0.6606021509485402,3,2,3,3,Harshil,,13,random
108,Should online piracy of TV shows be punishable by law?,_ndcg@3,Qwen2,0.8824435249295117,Mistral,0.7294661149577071,Mistral-llava,0.7117556475070489,3,2,3,1,Harshil,,13,random
109,Is a low inflation rate beneficial to the economy?,_ndcg@1,Qwen2,1.0,Mistral,0.75,BM25,0.5,3,3,3,3,Shashi,,16,manual
110,Is a low inflation rate beneficial to the economy?,_ndcg@2,Qwen2,0.8065735963827293,BM25,0.6934264036172708,Mistral,0.5565735963827292,3,2,3,1,Shashi,,16,manual
111,Is a low inflation rate beneficial to the economy?,_ndcg@3,Qwen2,0.8427338364047597,BM25,0.7507390280692655,Mistral,0.5771550256590888,3,2,3,2,Shashi,,16,manual
112,Are property prices in European cities too high?,_ndcg@1,Qwen2,1.0,BM25,0.8333333333333334,Mistral-llava,0.5,3,3,3,2,Shashi,,15,manual
113,Are property prices in European cities too high?,_ndcg@2,Qwen2,1.0,Mistral,0.5630635209026998,BM25,0.5461705988716252,3,3,3,3,Shashi,,15,manual
114,Are property prices in European cities too high?,_ndcg@3,Qwen2,1.0,Mistral,0.6245770191817948,BM25,0.5631344712273079,3,3,3,3,Shashi,,15,manual
115,Do people prefer online shopping over in-store shopping?,_ndcg@1,Qwen2,1.0,BM25,1.0,Mistral,1.0,3,3,3,2,Shashi,1&2&3,11,manual
116,Do people prefer online shopping over in-store shopping?,_ndcg@2,Mistral,1.0,BM25,0.9226294385530918,Qwen2,0.8452588771061834,3,3,3,2,Shashi,,11,manual
117,Do people prefer online shopping over in-store shopping?,_ndcg@3,Mistral,0.9507614678330716,BM25,0.9378678900673996,Qwen2,0.924974312301727,3,3,3,2,Shashi,,11,manual
118,Is Facebook still the most popular social network?,_ndcg@1,Clip,0.8333333333333334,Qwen2,0.6666666666666666,Mistral,0.3333333333333333,3,3,3,2,Shashi,,17,manual
