Question,Sector
Should the U.S. continue to allow high levels of immigration?,Politics
Should English proficiency be a requirement for U.S. immigration?,Politics
Should the US government provide official documents and services in languages other than English?,Politics
Should the growing Hispanic population in the US be a key consideration in shaping the country's future policies?,POLITICS
Should NPR be funded by the government?,Politics
Is public television still relevant in the modern media landscape?,Television
Should public radio stations rely on private funding rather than government subsidies?,Media
Should public radio stations rely on listener membership for funding?,Media
Should public radio stations prioritize increasing news content production over reducing expenses?,Broadcasting
Should Univision's revenue be higher than $3 billion?,Finance
Should Spanish-language news radio stations rely on alternative revenue sources to offset declining advertising revenue?,Media
Is terrestrial radio still a relevant form of media?,Entertainment
Should online radio listening be allowed while driving?,Transportation
Are newspaper websites effectively attracting and retaining online readers?,Media
Are newspaper websites holding readers' attention?,Media
Should newspapers shift entirely to digital advertising?,Media
Is network TV evening news still a relevant source of information?,Media
Is the decline of network TV morning news audiences a sign of a broader shift away from traditional news sources,Media
Are Sunday morning TV political talk shows still relevant?,Media
Are TV newsmagazines still a relevant source of news?,Media
Should advertising revenue be the primary source of funding for evening network news programs?,Media
Should morning network news programs rely on advertiser funding?,Media
Should retransmission fees be passed on to consumers through higher cable and satellite bills?,Telecommunications
Should local TV stations be allowed to profit from political advertising?,Politics
Is 6 hours of local TV news per weekday sufficient for a well-informed public?,Media
Should the increasing consolidation of local TV stations through mergers and acquisitions be a cause for concern?,Media
Is smartphone-only internet access a viable alternative to traditional home broadband?,Technology
Should internet access be considered a fundamental right?,Technology
Should internet service providers be required to provide affordable high-speed broadband to all households?,Telecom.
Is smartphone dependency a hindrance to traditional internet access at home?,Technology
Does excessive social media use have a net negative impact on society?,Technology
Should there be more black representation in the U.S. Senate and governorships?,Politics
Should the racial diversity of a presidential Cabinet reflect the racial diversity of the US population?,Politics
Should there be more women represented in the U.S. Senate?,Politics
Should there be more women represented in the U.S. House of Representatives?,Politics
Should there be a quota to increase the number of women in state legislatures?,Politics
Should there be more women serving as governors in the United States?,POLITICS
Should there be a quota for women in Cabinet-level positions?,Politics
Should there be more female CEOs in Fortune 500 companies?,Business
Should Fortune 500 companies have a quota for female board members?,Corporate
Should university presidents be required to have a background in academia?,Education
Should the U.S. continue to prioritize issuing F-1 visas to foreign students?,Immigration
Should international students be given priority over domestic students for admission to U.S. colleges and universities?,Education
Should the U.S. prioritize attracting more international students to its colleges and universities?,Education
Are lower-income individuals and minorities more vulnerable to online scams due to lack of awareness or other factors?,Cybercrime
Should the COVID-19 pandemic be viewed as a moral or spiritual lesson for humanity?,Philosophy
"Should the term ""Latinx"" be used to describe the Hispanic population?",CULTURE
Should spending on policing be increased or reduced?,Politics
Should staying informed about current events be a civic responsibility?,Politics
Are close state-level contests in U.S. presidential elections becoming more common?,Politics
Should NATO member states be required to meet the organization's 2% defense spending threshold?,Defense
Should Congress pass a new COVID-19 aid package before the presidential inauguration in January?,Politics
Is President Trump's arrogance a major flaw in his leadership?,Politics.
Is QAnon a legitimate movement or a conspiracy theory?,Politics
Should governments prepare for the economic impact of a rapidly increasing retired population?,Pensions
